ID, Sentence, Target, Base
"[BRWN, PARA#7409, SENT#3]","Thus Burns's `` My love is like a red , red rose '' and Hopkins' `` The thunder-purple sea-beach , plumed purple of Thunder '' although clearly intelligible in content , hardly present ideas of the sort with which we are here concerned .","(NP (NP (NNP Burns) (POS 's)) (`` ``) (JJ My) (NN love))","(NP (DT a) (NN red))"
"[BRWN, PARA#4799, SENT#1]","As in choosing a wife , it is only sensible to consider also how appealing a pool is likely to be in bad weather as well as in good .","None","None"
"[BRWN, PARA#9343, SENT#2]","More than anything , it is the therapist's intuitive sensing of these latent meanings in the stereotype which helps these meanings to become revealed , something like a spread-out deck of cards , on sporadic occasions over the passage of the patient's and his months of work together .","(NP (NN something))","(NP
  (NP (DT a) (JJ spread-out) (NN deck))
  (PP (IN of) (NP (NNS cards))))"
"[BRWN, PARA#6812, SENT#10]","I have more than once sat cross-legged in the grass through a long summer morning and watched without touching while a poppy bud higher than my head slowly but visibly pushed off its cap , unfolded , and shook out like a banner in the sun its flaming vermilion petals .","(NP
  (NP (DT a) (JJ poppy) (NN bud))
  (ADJP
    (ADJP
      (JJR higher)
      (PP (IN than) (NP (NP (PRP$ my) (NN head)) (ADVP (RB slowly)))))
    (CC but)
    (ADJP (JJ visibly))))","(NP (NP (DT a) (NN banner)) (PP (IN in) (NP (DT the) (NN sun))))"
"[BRWN, PARA#14492, SENT#10]","He also had , at times , an uncanny absent-minded air like a sleepwalker ; ;","(NP (DT an) (JJ uncanny) (JJ absent-minded) (NN air))","(NP (NP (DT a) (NN sleepwalker)) (: ;))"
"[BRWN, PARA#15582, SENT#3]","Nevertheless , like any other human being upon whom the spotlight of the world plays continually , Khrushchev , the anti-personality cultist , has become a comic actor , or thinks he has .","None","(S
  (NP (DT any) (JJ other) (NN human))
  (VP
    (VBG being)
    (PP
      (IN upon)
      (SBAR
        (WHNP (WP whom))
        (S
          (NP
            (NP (DT the) (NN spotlight))
            (PP (IN of) (NP (DT the) (NN world))))
          (VP (VBZ plays) (ADVP (RB continually))))))))"
"[BRWN, PARA#11877, SENT#5]","Word of his arrival spread through the crowd like a brushfire .","(NP (NP (NNP Word)) (PP (IN of) (NP (PRP$ his) (NN arrival))))","(NP (DT a) (NN brushfire))"
"[BRWN, PARA#10307, SENT#2]","He had dinner and sat there over his coffee watching the winding pattern of traffic as it crossed the bridge and spread out like a serpent with two heads .","[Tree('NP', [Tree('PRP', ['it'])]), None, Tree('VBD', ['spread']), Tree('PRT', [Tree('RP', ['out'])]), Tree('VP', [Tree('VBD', ['crossed']), Tree('NP', [Tree('DT', ['the']), Tree('NN', ['bridge'])])])]","(NP
  (NP (DT a) (NN serpent))
  (PP (IN with) (NP (CD two) (NNS heads))))"
"[BRWN, PARA#14625, SENT#1]","George Rawlings remembered seeing the door open sometime during the night -- Millie , in a white robe , standing like a ghost at the threshold .","(NP
  (NP (NNP Millie))
  (, ,)
  (PP (IN in) (NP (DT a) (JJ white) (NN robe)))
  (, ,))","(NP (NP (DT a) (NN ghost)) (PP (IN at) (NP (DT the) (NN threshold))))"
"[BRWN, PARA#6292, SENT#6]","This term was also used by the cowboy in the sense of a human showin' fight , as one cowhand was heard to say , `` He arches his back like a mule in a hailstorm '' .","[Tree('NP', [Tree('PRP', ['He'])]), None, Tree('VBZ', ['arches']), Tree('NP', [Tree('PRP$', ['his']), Tree('NN', ['back'])])]","(NP (DT a) (NN mule))"
"[BRWN, PARA#4332, SENT#2]","One seldom hears the analogy `` nuclear propulsion will do for the aircraft what it has already done for the submarine '' .","None","None"
"[BRWN, PARA#14532, SENT#4]","It's so romantic up there , she used to say , with the broad river gleaming in its moontrack like an enormous dark mirror and all the sounds of the night , so poetic .","(NP (PRP$ its) (NN moontrack))","(NP (DT an) (JJ enormous) (JJ dark) (NN mirror))"
"[BRWN, PARA#7352, SENT#1]","The dogs would run through the halls after him like a burst of bullets , and all the maids would run for cover .","[]","None"
"[BRWN, PARA#3896, SENT#6]","Therefore , the only conceivable alternatives are those represented , on the one hand , by the two at least apparently self-consistent but mutually exclusive positions of Buri and Barth and , on the other hand , by the third but really pseudo position ( analogous to a round square ) of Bultmann .","None","None"
"[BRWN, PARA#11232, SENT#6]","Now the yard looked wet and bald , the trees bare under their buds , but in a while Miss Ada's flowers would bloom like a marching parade .","(NP (NP (NNP Miss) (NNP Ada) (POS 's)) (NNS flowers))","(NP (DT a) (JJ marching) (NN parade))"
"[BRWN, PARA#8991, SENT#7]","The argument against this last approach is comparable to that which rejects stories about hoop snakes , about snakes that break themselves into many pieces and join up again , or even of ghosts that chase people out of graveyards ; ;","None","None"
"[BRWN, PARA#5841, SENT#4]","Where it is not actually erupting , it rumbles and smolders in sullen resentment like a volcano , ready to explode at any moment .","(NP (NN sullen) (NN resentment))","(NP
  (NP (DT a) (NN volcano))
  (, ,)
  (ADJP
    (JJ ready)
    (S
      (VP
        (TO to)
        (VP (VB explode) (PP (IN at) (NP (DT any) (NN moment))))))))"
"[BRWN, PARA#14062, SENT#1]","Delphine presented her cheek for a kiss , and the physician pecked it like a timid rooster .","(NP (DT the) (NN physician))","(NP (DT a) (JJ timid) (NN rooster))"
"[BRWN, PARA#6813, SENT#6]","morning-glory buds which could be so grasped and squeezed that they burst like a blown-up paper bag ; ;","[Tree('NP', [Tree('PRP', ['they'])]), Tree('VBP', ['burst'])]","(NP (DT a) (JJ blown-up) (NN paper) (NN bag))"
"[BRWN, PARA#14496, SENT#6]","`` The artist is like a fragment of a mosaic -- no , he is more than that , a virtuoso performer in some vast philharmonic .","(NP (DT The) (NN artist))","(NP (NP (DT a) (NN fragment)) (PP (IN of) (NP (DT a) (NN mosaic))))"
"[BRWN, PARA#4908, SENT#9]","Stravinsky , nearing the age of eighty , is like a lost and frantic bird , flitting from one abandoned nest to another , searching for a home .","(S
  (VP
    (VBG nearing)
    (NP (NP (DT the) (NN age)) (PP (IN of) (NP (NN eighty))))))","(NP (DT a) (JJ lost) (CC and) (JJ frantic) (NN bird))"
"[BRWN, PARA#8590, SENT#1]","Nonresident aliens living in Canada or Mexico who earn wages in the United States may be subject to withholding of tax on their wages , the same as if they were citizens of the United States .","None","None"
"[BRWN, PARA#5832, SENT#7]","but he believed in the Jew-as-enemy in a kind of abstract , theological way , like a member of a cult speculating on the nature of things .","[Tree('NP', [Tree('PRP', ['he'])]), None, Tree('VBD', ['believed']), Tree('PP', [Tree('IN', ['in']), Tree('NP', [Tree('DT', ['the']), Tree('NNP', ['Jew-as-enemy'])])]), Tree('PP', [Tree('IN', ['in']), Tree('NP', [Tree('NP', [Tree('DT', ['a']), Tree('NN', ['kind'])]), Tree('PP', [Tree('IN', ['of']), Tree('NP', [Tree('JJ', ['abstract']), Tree(',', [',']), Tree('JJ', ['theological']), Tree('NN', ['way'])])])])])]","(NP
  (NP (DT a) (NN member))
  (PP
    (IN of)
    (NP
      (NP (DT a) (NN cult))
      (VP
        (VBG speculating)
        (PP
          (IN on)
          (NP
            (NP (DT the) (NN nature))
            (PP (IN of) (NP (NNS things)))))))))"
"[BRWN, PARA#3064, SENT#11]","for a dose of radiation is not like a flu virus which causes temporary discomfort and then dies .","(NP (NP (DT a) (NN dose)) (PP (IN of) (NP (NN radiation))))","(NP
  (NP (DT a) (NN flu) (NN virus))
  (SBAR
    (WHNP (WDT which))
    (S
      (VP
        (VP (VBZ causes) (NP (JJ temporary) (NN discomfort)))
        (CC and)
        (ADVP (RB then))
        (VP (VBZ dies))))))"
"[BRWN, PARA#14782, SENT#2]","`` Hurry up , we're late '' , he said , noticing with a chill how gray the sky was this morning , the fog like a rope along the horizon , the choppy waves sending off sheets of blue and Kool-Aid green .","(NP (DT the) (NN fog))","(NP
  (NP (DT a) (NN rope))
  (PP
    (IN along)
    (NP
      (NP (DT the) (NN horizon))
      (, ,)
      (NP
        (NP (DT the) (JJ choppy) (NNS waves))
        (VP
          (VBG sending)
          (PRT (RP off))
          (NP
            (NP (NNS sheets))
            (PP
              (IN of)
              (NP (JJ blue) (CC and) (JJ Kool-Aid) (NN green)))))))))"
"[BRWN, PARA#5994, SENT#7]","He went down like a wet rag and the attackers hit the dirt in the face of the withering enemy fire .","[Tree('NP', [Tree('PRP', ['He'])]), None, Tree('VBD', ['went']), Tree('PRT', [Tree('RP', ['down'])])]","(NP (DT a) (JJ wet) (NN rag))"
"[BRWN, PARA#4106, SENT#6]","Then this atom of calcium will swell to something like a great balloon a hundred yards across , a balloon big enough to put a football field inside .","(NP (NP (DT this) (NN atom)) (PP (IN of) (NP (NN calcium))))","(NP (DT a) (JJ great) (NN balloon))"
"[BRWN, PARA#1721, SENT#1]","The logic of that is impeccable , of course , except that I feel like a fool being driven up to work in a little car , by my wife , when everybody knows I have a big car and am capable of driving myself .","[Tree('NP', [Tree('PRP', ['I'])]), Tree('VBP', ['feel'])]","(NP
  (NP (DT a) (NN fool))
  (VP
    (VBG being)
    (VP
      (VBN driven)
      (PRT (RP up))
      (S
        (VP
          (TO to)
          (VP
            (VB work)
            (PP (IN in) (NP (DT a) (JJ little) (NN car))))))
      (, ,)
      (PP
        (IN by)
        (NP
          (NP (PRP$ my) (NN wife))
          (, ,)
          (SBAR
            (WHADVP (WRB when))
            (S
              (NP (NN everybody))
              (VP
                (VBZ knows)
                (SBAR
                  (S
                    (NP (PRP I))
                    (VP
                      (VP (VBP have) (NP (DT a) (JJ big) (NN car)))
                      (CC and)
                      (VP
                        (VBP am)
                        (ADJP
                          (JJ capable)
                          (PP
                            (IN of)
                            (S (VP (VBG driving) (NP (PRP myself))))))))))))))))))"
"[BRWN, PARA#4276, SENT#3]","Before your first training experiment has ended there will be a big improvement and almost before you know it you'll be raising and lowering yourself just like a veteran ! !","[Tree('NP', [Tree('PRP', ['you'])]), None, Tree('VBG', ['lowering']), Tree('NP', [Tree('PRP', ['yourself'])]), Tree('VP', [Tree('VBG', ['raising'])]), Tree('VB', ['be']), Tree('MD', ["'ll"])]","(NP (DT a) (NN veteran))"
"[BRWN, PARA#11967, SENT#2]","his nerves seemed frost-bitten down to the tips of his tingling fingers and his spine felt stiff and glass-like , liable to break like an icicle at any moment .","(VB break)","(NP (NP (DT an) (NN icicle)) (PP (IN at) (NP (DT any) (NN moment))))"
"[BRWN, PARA#15558, SENT#6]","I took a deep breath and an even deeper swallow of my drink , and said , `` I admit that going back to Ralph Waldo Emerson for humor is like going to a modern musical comedy for music and comedy '' .","(S
  (VP
    (VBG going)
    (PRT (RP back))
    (PP
      (TO to)
      (NP
        (NP (NNP Ralph) (NNP Waldo) (NNP Emerson))
        (PP (IN for) (NP (NN humor)))))))","(S
  (VP
    (VBG going)
    (PP
      (TO to)
      (NP
        (NP (DT a) (JJ modern) (JJ musical) (NN comedy))
        (PP (IN for) (NP (NN music) (CC and) (NN comedy)))))))"
"[BRWN, PARA#10384, SENT#5]","That absence of an urgent self-indulgence dashed them awake like a pail of water .","(NP
  (NP (DT That) (NN absence))
  (PP (IN of) (NP (DT an) (JJ urgent) (NN self-indulgence))))","(NP (NP (DT a) (NN pail)) (PP (IN of) (NP (NN water))))"
"[BRWN, PARA#2781, SENT#1]","People who take us for suckers are like the Westerner who had on exhibit his superior marksmanship in the form of a number of bull's-eye achievements .","(NP
  (NP (NNS People))
  (SBAR
    (WHNP (WP who))
    (S
      (VP (VBP take) (NP (PRP us)) (PP (IN for) (NP (NNS suckers)))))))","(NP
  (NP (DT the) (NN Westerner))
  (SBAR
    (WHNP (WP who))
    (S
      (VP
        (VBD had)
        (ADVP (RB on))
        (VP
          (VB exhibit)
          (NP (PRP$ his) (JJ superior) (NN marksmanship))
          (PP
            (IN in)
            (NP
              (NP (DT the) (NN form))
              (PP
                (IN of)
                (NP
                  (NP (DT a) (NN number))
                  (PP
                    (IN of)
                    (NP
                      (NP (NN bull) (POS 's))
                      (JJ -)
                      (NN eye)
                      (NNS achievements))))))))))))"
"[BRWN, PARA#7104, SENT#2]","While my memory holds with relentless tenacity , as I cannot too often stress , to my wrongs , when it comes to my shames , it gestures and jokes and toys with chronology like a prestidigitator in the hope of distracting me from them .","[]","None"
"[BRWN, PARA#6846, SENT#8]","As in experience one is seized by given entities and their interrelations and is forced to respond in value feelings to them , so one is similarly seized in the mimetic presentation of images .","[]","None"
"[BRWN, PARA#10554, SENT#4]","Loneliness tore through him like a physical pain whenever he thought of Peter Robert , Nerien , Nicholas Cop , Martin Bucer , and even the compromising Louis Du Tillet .","(NP (NNS Loneliness))","(NP (DT a) (JJ physical) (NN pain))"
"[BRWN, PARA#10318, SENT#6]","A fellow came up to me , a Senator , I don't have to tell you his name , and he told me , ' I love the President like a brother , but God damn it , he's crucifying me .","(NP (DT the) (NNP President))","(NP (DT a) (NN brother))"
"[BRWN, PARA#11031, SENT#1]","She grasped the chair arms and brought her thin body upright , like a bird alert for flight .","[Tree('NP', [Tree('PRP', ['She'])]), None, Tree('VBD', ['brought']), Tree('NP', [Tree('PRP$', ['her']), Tree('JJ', ['thin']), Tree('NN', ['body']), Tree('NN', ['upright'])]), Tree('VP', [Tree('VBD', ['grasped']), Tree('NP', [Tree('DT', ['the']), Tree('NN', ['chair']), Tree('NNS', ['arms'])])])]","(NP (DT a) (NN bird) (NN alert))"
"[BRWN, PARA#13694, SENT#2]","Frozen , they stared at it whirling down the valley , gouging and spitting out boulders and chunks of earth like a starving hound dog cracking marrowbones .","[Tree('NP', [Tree('PRP', ['it'])]), None, Tree('VBG', ['whirling']), Tree('PRT', [Tree('RP', ['down'])]), Tree('NP', [Tree('NP', [Tree('DT', ['the']), Tree('NN', ['valley']), Tree(',', [',']), Tree('NN', ['gouging']), Tree('CC', ['and']), Tree('NN', ['spitting'])]), Tree('PP', [Tree('IN', ['out']), Tree('NP', [Tree('NP', [Tree('NNS', ['boulders']), Tree('CC', ['and']), Tree('NNS', ['chunks'])]), Tree('PP', [Tree('IN', ['of']), Tree('NP', [Tree('NN', ['earth'])])])])])])]","(NP
  (NP (DT a) (VBG starving) (JJ hound) (NN dog))
  (VP (VBG cracking) (NP (NNS marrowbones))))"
"[BRWN, PARA#8690, SENT#5]","The potential market for the machine should be comparable to that of the Unifil loom winder .","None","None"
"[BRWN, PARA#6433, SENT#3]",") The curve of faded terra-cotta-colored houses in front of the church seems like a stage set .","(NP
  (NP (DT The) (NN curve))
  (PP
    (IN of)
    (NP
      (NP (JJ faded) (JJ terra-cotta-colored) (NNS houses))
      (PP
        (IN in)
        (NP (NP (NN front)) (PP (IN of) (NP (DT the) (NN church))))))))","(NP (DT a) (NN stage) (NN set))"
"[BRWN, PARA#13782, SENT#3]","It made only a tiny bump over the two men like a tire over a piece of gravel then moved on .","[Tree('NP', [Tree('PRP', ['It'])]), None, Tree('VBD', ['made']), Tree('NP', [Tree('RB', ['only']), Tree('DT', ['a']), Tree('JJ', ['tiny']), Tree('NN', ['bump'])]), Tree('PP', [Tree('IN', ['over']), Tree('NP', [Tree('DT', ['the']), Tree('CD', ['two']), Tree('NNS', ['men'])])])]","(NP
  (NP (DT a) (NN tire))
  (PP
    (IN over)
    (NP
      (NP (DT a) (NN piece))
      (PP
        (IN of)
        (NP
          (NP (NN gravel))
          (VP (ADVP (RB then)) (VBN moved) (PP (IN on))))))))"
"[BRWN, PARA#14038, SENT#3]","His heart was pounding like a mighty dynamo and he was trying to think , his mind seeming to scream at him like a hurt or frightened child , `` How will I do it ? ?","(PP (IN at) (NP (PRP him)))","(NP (DT a) (ADJP (NN hurt) (CC or) (JJ frightened)) (NN child))"
"[BRWN, PARA#4102, SENT#5]","One night there were some dried peas lying on our kitchen table , and these peas looked to me like a little group of atoms ; ;","(NP (DT these) (NNS peas))","(NP
  (NP (DT a) (JJ little) (NN group))
  (PP (IN of) (NP (NP (NNS atoms)) (: ;))))"
"[BRWN, PARA#13933, SENT#1]","The marine slumped forward into a bow like a priest before an idol .","(NP (DT a) (NN bow))","(NP (DT a) (NN priest))"
"[BRWN, PARA#9361, SENT#2]","The order is identical to the ordering of the forms they describe .","None","None"
"[BRWN, PARA#14704, SENT#5]","The closet was faintly fragrant with lavender , and as Lucy shut the door an unhappy memory slipped into her mind , like a lavender ghost : Greg's house , on the day he was buried , and the child , pale , silent , baffled , watching the funeral guests with panicky eyes .","(NP (DT an) (ADJP (JJ unhappy)) (NN memory))","(NP
  (NP (DT a) (NN lavender) (NN ghost))
  (: :)
  (NP (NP (NNP Greg) (POS 's)) (NN house)))"
"[BRWN, PARA#7754, SENT#1]","Alfred began to put his affairs in order , and he went about it like a man putting his things into storage .","[Tree('NP', [Tree('PRP', ['he'])]), None, Tree('VBD', ['went']), Tree('PP', [Tree('IN', ['about']), Tree('NP', [Tree('PRP', ['it'])])])]","(NP
  (NP (DT a) (NN man))
  (VP
    (VBG putting)
    (NP (PRP$ his) (NNS things))
    (PP (IN into) (NP (NN storage)))))"
"[BRWN, PARA#9554, SENT#1]","There may be certain items which are quite similar to a net operating loss carryover or operating deficit and whose right to survive a reorganization should perhaps be subject to the conditions applicable to those items .","(VBP are)","(PP
  (TO to)
  (NP (DT a) (JJ net) (NN operating) (NN loss) (NN carryover)))"
"[BRWN, PARA#13121, SENT#4]","It was a bold , dark castle of pine boughs that stood like a medieval fortress , eclipsing the sun and human time .","(VBD stood)","(NP (DT a) (JJ medieval) (NNS fortress))"
"[BRWN, PARA#9945, SENT#1]","It is not a far fetched analogy to say that this is what Thomas did to poetry .","None","None"
"[BRWN, PARA#11078, SENT#10]","I always felt the memory was present in both of them , stirring in their chests like a laugh or a growl , as eager as an animal to be out .","(NP (DT the) (NN memory))","(NP (NP (DT a) (NN laugh)) (CC or) (NP (DT a) (NN growl)))"
"[BRWN, PARA#14716, SENT#2]","Then she jumped to her feet , the elastic phone cord uncoiling like a black snake .","(NP (DT the) (JJ elastic) (NN phone) (NN cord))","(NP (DT a) (JJ black) (NN snake))"
"[BRWN, PARA#15065, SENT#2]","Today , he looked like an Astronaut who had left his vitamin pills on the bureau and spent six months in space : hollow eyes , hollow cheeks , hollow stomach .","[Tree('NP', [Tree('PRP', ['he'])]), None, Tree('VBD', ['looked']), Tree('NP', [Tree('NN', ['Today'])])]","(NP
  (NP (DT an) (NN Astronaut))
  (SBAR
    (WHNP (WP who))
    (S
      (VP
        (VBD had)
        (VP
          (VBN left)
          (NP (PRP$ his) (NN vitamin) (NNS pills))
          (PP (IN on) (NP (DT the) (NN bureau))))))))"
"[BRWN, PARA#3871, SENT#3]","It is like a mysterious epidemic which , starting first with Abigail and Parris , spreads inexorably with a dreadfully growing virulence through the whole town until all have been infected by it .","[Tree('NP', [Tree('PRP', ['It'])]), Tree('VBZ', ['is'])]","(NP
  (NP (DT a) (JJ mysterious) (NN epidemic))
  (SBAR
    (WHNP (WDT which))
    (S
      (, ,)
      (PP
        (VBG starting)
        (PP
          (ADVP (RB first))
          (IN with)
          (NP (NNP Abigail) (CC and) (NNP Parris))))
      (, ,)
      (VP
        (VBZ spreads)
        (ADVP
          (RB inexorably)
          (PP
            (IN with)
            (NP
              (DT a)
              (ADJP (RB dreadfully) (VBG growing))
              (NN virulence))
            (PP (IN through) (NP (DT the) (JJ whole) (NN town)))))
        (SBAR
          (IN until)
          (S
            (NP (DT all))
            (VP
              (VBP have)
              (VP
                (VBN been)
                (VP (VBN infected) (PP (IN by) (NP (PRP it))))))))))))"
"[BRWN, PARA#6794, SENT#1]","The personal quality of Samuel Beckett is similar to qualities I had found in the plays .","(NP
  (NP (DT The) (JJ personal) (NN quality))
  (PP (IN of) (NP (NNP Samuel) (NNP Beckett))))","(PP
  (TO to)
  (NP
    (NP (NNS qualities))
    (SBAR
      (S
        (NP (PRP I))
        (VP
          (VBD had)
          (VP (VBN found) (PP (IN in) (NP (DT the) (NNS plays)))))))))"
"[BRWN, PARA#7424, SENT#1]","`` The Attorney General has been brooding over that evidence like an old hen on a doorknob for eighteen months '' , Hearst said .","(NP (DT that) (NN evidence))","(NP
  (NP (DT an) (JJ old) (NN hen))
  (PP
    (IN on)
    (NP
      (NP (DT a) (NN doorknob))
      (PP (IN for) (NP (NN eighteen) (NNS months))))))"
"[BRWN, PARA#14928, SENT#3]","The place was busy but I didn't feel like a Hun .","[Tree('NP', [Tree('PRP', ['I'])]), None, Tree('VB', ['feel']), Tree('VBD', ['did'])]","(NP (DT a) (NNP Hun))"
"[BRWN, PARA#8846, SENT#1]","Although the Af calculation is obvious by analogy with that for gravitational field and osmotic pressure , it is interesting to confirm it by a method which can be generalized to include related effects .","None","None"
"[BRWN, PARA#1413, SENT#1]","`` It is like handing a loaded automatic to an 8-year-old and telling him to run out and play '' , he commented .","[Tree('NP', [Tree('PRP', ['It'])]), Tree('VBZ', ['is'])]","(S
  (VP
    (VP
      (VBG handing)
      (NP (DT a) (JJ loaded) (JJ automatic))
      (PP (TO to) (NP (DT an) (JJ 8-year-old))))
    (CC and)
    (VP
      (VBG telling)
      (S
        (NP (PRP him))
        (VP
          (TO to)
          (VP
            (VP (VB run) (PRT (RP out)))
            (CC and)
            (VP (VB play) ('' ''))))))))"
"[BRWN, PARA#10326, SENT#2]","She soared over the new pastor like an avenging angel lest he stray from the path and not know all the truth and gossip of which she was chief repository .","(NP (DT the) (JJ new) (NN pastor))","(NP (DT an) (JJ avenging) (NN angel))"
"[BRWN, PARA#7416, SENT#2]","We must avoid the notion , suggested to some people by examples such as those just mentioned , that ideas are `` units '' in some way comparable to coins or counters that can be passed intact from one group of people to another or even , for that matter , from one individual to another .","None","None"
"[BRWN, PARA#4906, SENT#4]","Why did Prokofieff expand in stature and fecundity , while Stravinsky ( who leaped into fame like a young giant ) dwindled in stature and fruitfulness ? ?","(PP (IN into) (NP (NN fame)))","(NP (DT a) (JJ young) (NN giant))"
"[BRWN, PARA#14494, SENT#2]","We went into Mrs. Monmouth's library , which had low bookshelves all along the walls , and above them a Modigliani portrait , a Jackson Pollock twelve feet long , and a gorgeous Miro with a yellow background , that looked like an inscription from a Martian tomb .","(VBD looked)","(NP (DT an) (NN inscription))"
"[BRWN, PARA#3538, SENT#1]","Miss Vaughan was back in top form , somehow mellowed and improved with the passage of time -- like a fine wine .","(NP (NNP Miss) (NNP Vaughan))","(NP (DT a) (JJ fine) (NN wine))"
"[BRWN, PARA#14595, SENT#1]","But now with real anger at last , something proud and indignant , Early Spring stood like a she wolf before her den and cried , `` I will not shriek at you ! !","(NP (RB Early) (NN Spring))","(NP (DT a) (NP (PRP she)) (NN wolf))"
"[BRWN, PARA#15578, SENT#5]","The sound mockery of sheep is like the salubrious horse laugh '' .","(NP
  (NP (DT The) (JJ sound) (NN mockery))
  (PP (IN of) (NP (NN sheep))))","(NP (DT the) (JJ salubrious) (NN horse) (NN laugh) ('' ''))"
"[BRWN, PARA#6921, SENT#2]","Here there may be an analogy with cancer : we can detect cancers by their rapidly accelerating growth , determinable only when related to the more normal rate of healthy growth .","None","None"
"[BRWN, PARA#6769, SENT#1]","Our collective policies , group and national , are similarly based on voodoo , but here we often lack even the empirically successful rituals and are still engaged in determing them .","[]","None"
"[BRWN, PARA#8979, SENT#5]","The life history of the alkali bee is similar to that of Andrena , but the first activity of the adults does not take place until summer , and the individuals hibernate in the prepupal stage .","(NP
  (NP (DT The) (NN life) (NN history))
  (PP (IN of) (NP (DT the) (JJ alkali) (NN bee))))","(PP (TO to) (NP (NP (DT that)) (PP (IN of) (NP (NNP Andrena)))))"
"[BRWN, PARA#14487, SENT#13]","You laughed and then your chest swelled and you felt you could cry for a little bit , and then a feeling hit you like a chill in your stomach and the goose bumps rippled along your arm .","(NP (DT a) (NN feeling))","(NP
  (NP
    (NP (DT a) (NN chill))
    (PP (IN in) (NP (PRP$ your) (NN stomach))))
  (CC and)
  (NP
    (NP (DT the) (NN goose) (NNS bumps))
    (VP (VBN rippled) (PP (IN along) (NP (PRP$ your) (NN arm))))))"
"[BRWN, PARA#3735, SENT#2]","In their very first speeches it was clear that Shakespeare , like a Nostradamus , had foreseen this moment .","(NP (NNP Shakespeare))","(NP (DT a) (NNP Nostradamus))"
